id,name,neighborhood,cuisine,price_level,rating,review_count,is_open,hours,tags,description,menu_summary,top_reviews,vibe
XDqSIoVRrG4JoF79HTT1Zw,Balvanera,Unknown,"Argentine, Wine Bars, Steakhouses",,4.5,132,True,"[{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 6}]","Argentine, Wine Bars, Steakhouses",Balvanera is an Argentine restaurant that also serves as a wine bar and steakhouse.,"The cuisine is Argentine, likely featuring grilled meats and steaks, along with a selection of wines.",No reviews available to summarize.,Cannot be determined without customer reviews and feedback.
MdpoKByQGwhCb9ZWaPxUXg,The Forge,Unknown,"Lounges, Mediterranean, Cocktail Bars",,4.5,236,True,"[{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}]","Lounges, Mediterranean, Cocktail Bars",,,,
g6_Mkq_86wniZ8hYZVjhIA,The Eagle - Pittsburgh,Unknown,"Southern, Soul Food, American",2.0,4.3,476,True,"[{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}]","Southern, Soul Food, American",The Eagle in Pittsburgh serves up Southern and soul food classics in an American diner setting.,"The menu features traditional Southern and soul food dishes as well as American comfort food favorites. Expect items like fried chicken, collard greens, mac and cheese, and other hearty, homestyle cooking.",No Yelp reviews found for The Eagle - Pittsburgh location.,Homey
6Ng-SVnRdOdydSuz2l5IGg,Fig & Ash Wood Fire Kitchen,Unknown,New American,3.0,4.5,308,True,"[{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}]",New American,Fig & Ash Wood Fire Kitchen is a New American restaurant that features wood-fired cooking techniques.,"The menu likely focuses on dishes prepared in a wood-fired oven or grill, with an emphasis on fresh, seasonal American cuisine with creative twists.",No Yelp reviews were found for this restaurant.,Rustic
NoF90rswXBHESSyDaWeKKA,Proper Brick Oven & Tap Room,Unknown,"Italian, Pizza, Bars",2.0,4.3,998,True,"[{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}]","Italian, Pizza, Bars",Proper Brick Oven & Tap Room is an Italian restaurant and bar known for its pizza. The restaurant features a brick oven for preparing its signature pies.,"The menu focuses on Italian cuisine, with pizza as the highlight. The restaurant also likely offers other Italian dishes and a selection of beer on tap.","No Yelp reviews were found for this restaurant, so a summary of what reviewers liked or disliked cannot be provided.",Casual
u4sTiCzVeIHZY8OlaL346Q,Gaucho Parrilla Argentina,Unknown,Argentine,2.0,4.5,2643,True,"[{'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}]",Argentine,,,,
7mOWMhlibS62hedb1m5A3Q,The Summit,Unknown,"Cocktail Bars, New American",2.0,4.5,258,True,"[{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}]","Cocktail Bars, New American",,,,
7z2x16M7IuG8KPfMsyVrKA,Morcilla,Unknown,Spanish,3.0,4.4,466,True,"[{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 5}]",Spanish,,,,
drquCq18pgKu1lv1UzJJAQ,Siempre Algo,Unknown,"New American, Cocktail Bars, Desserts",3.0,4.7,152,True,"[{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}]","New American, Cocktail Bars, Desserts",Siempre Algo is a New American restaurant and cocktail bar that also serves desserts.,"The menu features New American cuisine, cocktails, and desserts. No specifics available due to lack of reviews.",No Yelp reviews were found for this restaurant.,Unknown
JLbgvGM4FXh9zNP4O5ZWjQ,Meat & Potatoes,Unknown,"New American, Gastropubs",3.0,4.1,2392,True,"[{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}]","New American, Gastropubs",,,,
